Catalog Number,Alternative Number,Source,Species Group,Sex,Country,State/Province,County,Locality,Longitude,Latitude,Sample Type
MJ252,,MZUSP,goeldii,M,Brazil,Rondônia,Porto Velho,"Abunã, margem direita do Rio Madeira, Fortaleza do Abunã",-65.34884,-9.59557,FR
MJ330,,MZUSP,longicaudatus,F,Brazil,Rondônia,Porto Velho,"Caiçara, margem direita do Rio Madeira, Mutum Paraná, UHE Jirau",-64.79292,-9.42976,FR
MJ391,,MZUSP,goeldii,M,Brazil,Rondônia,Porto Velho,"Caiçara, margem esquerda do Rio Madeira, Mutum Paraná, UHE Jirau",-64.83327,-9.43604,FR
MJ449,,MZUSP,gardneri,M,Brazil,Rondônia,Porto Velho,"Abunã, margem esquerda do Rio Madeira, Fortaleza do Abunã",-65.46861,-9.61306,FR
MJ514,,MZUSP,gardneri,F,Brazil,Rondônia,Porto Velho,"Caiçara, margem esquerda do Rio Madeira, Mutum Paraná, UHE Jirau",-64.87107,-9.44449,FR
MJ515,,MZUSP,gardneri,M,Brazil,Rondônia,Porto Velho,"Caiçara, margem esquerda do Rio Madeira, Mutum Paraná, UHE Jirau",-64.85128,-9.45414,FR
MJ523,,MZUSP,gardneri,M,Brazil,Rondônia,Porto Velho,"Abunã, margem esquerda do Rio Madeira, Fortaleza do Abunã",-65.4533,-9.63504,FR
MJ529,,MZUSP,simonsi,F,Brazil,Rondônia,Porto Velho,"Abunã, margem esquerda do Rio Madeira, Fortaleza do Abunã",-65.43986,-9.63406,FR
MJ6,,MZUSP,gardneri,M,Brazil,Rondônia,Porto Velho,Estação Ecológica Estadual Antônio Mujica Nava,-64.94222,-9.4139,FR
MJ601,,MZUSP,goeldii,F,Brazil,Rondônia,Porto Velho,"Mutum, margem esquerda do Rio Madeira, Mutum Paraná, UHE Jirau",-65.0713,-9.56918,FR
MJ665,,MZUSP,gardneri,F,Brazil,Rondônia,Porto Velho,"Caiçara, margem esquerda do Rio Madeira, Mutum Paraná, UHE Jirau",-64.85128,-9.45414,FR
MJ859,,MZUSP,longicaudatus,F,Brazil,Rondônia,Porto Velho,"Abunã, margem esquerda do Rio Madeira, Fortaleza do Abunã",-65.445,-9.62658,FR
MN36222,MNLM236,MN,guyannensis,M,Brazil,Goiás,Minaçu,"Rio Tocantinzinho, Serra da Mesa",-48.30485,-13.83346,FR
MN36702,MNLM262,MN,guyannensis,NA,Brazil,Goiás,Minaçu,"Rio Maranhão / Rio Boa Nova, Serra da Mesa",-48.30485,-13.83346,FR
MN56812,MNLM519,MN,guyannensis,NA,Brazil,Amazonas,Barcelos,"Rio Katana-ú, 2.7 Km NE Missão Marari",-64.78914,1.2086,FR
MN56815,MNLM521,MN,guyannensis,F,Brazil,Amazonas,Barcelos,"Rio Katana-ú, 2.7 Km NE Missão Marari",-64.78914,1.2086,FR
MN56816,MNLM522,MN,guyannensis,F,Brazil,Amazonas,Barcelos,"Rio Katana-ú, 2.7 Km NE Missão Marari",-64.78914,1.2086,FR
MN67246,APC599,CIT,longicaudatus,M,Brazil,Goiás,Mineiros,Parque Nacional das Emas,-52.92449,-18.12468,FR
MN76204,MNLM2306,MN,guyannensis,M,Brazil,Tocantins,São Sebastião do Tocantins,Fazenda Osara,-48.3,-5.28333,FR
MN76211,MNLM2312,MN,guyannensis,F,Brazil,Tocantins,São Sebastião do Tocantins,Fazenda Osara II,-48.3,-5.28333,FR
MN76750,MNLM2337,MN,guyannensis,F,Brazil,Tocantins,Lajeado,"Vale do Lajeado, 19 Km N de Palmas",-48.29032,-10.0782,FR
MN76754,MNLM2341,MN,guyannensis,F,Brazil,Tocantins,Lajeado,"Vale do Lajeado, 19 Km N de Palmas",-48.29032,-10.0782,FR
MPEG10658,,MPEG,simonsi,M,Brazil,Acre,Manoel Urbano,"BR-364, Km 08",-69.26065,-8.84739,DR
MPEG10811,,MPEG,longicaudatus,M,Brazil,Acre,Sena Madureira,Bairro do Triângulo,-68.67144,-9.07918,DR
MPEG10820,,MPEG,longicaudatus,F,Brazil,Acre,Sena Madureira,Bairro do Triângulo,-68.67144,-9.07918,DR
MPEG20767,BDP2122,FMNH,longicaudatus,M,Brazil,Rondônia,No information,"Cachoeira Nazaré W bank, Rio Ji-Paraná",-61.93104,-10.84726,DR
MPEG20768,BDP2186,FMNH,longicaudatus,M,Brazil,Rondônia,No information,"Cachoeira Nazaré, Rio Ji-Paraná",-61.93104,-10.84726,DR
MPEG20769,BDP2177,FMNH,longicaudatus,M,Brazil,Rondônia,No information,"Cachoeira Nazaré W bank, Rio Ji-Paraná",-61.93104,-10.84726,DR
MPEG21336,,MPEG,longicaudatus,F,Brazil,Rondônia,No information,"Cachoeira Nazaré W bank, Rio Ji-Paraná",-61.93104,-10.84726,DR
MPEG21338,,MPEG,longicaudatus,F,Brazil,Rondônia,No information,"Cachoeira Nazaré W bank, Rio Ji-Paraná",-61.93104,-10.84726,DR
MPEG21983,,MPEG,guyannensis,M,Brazil,Maranhão,No information,Reversa Indígena Caru (Índios Guajá),-46.33483,-3.70759,DR
MPEG22881,,MPEG,gardneri,NA,Brazil,Amazonas,Tefé,No information,-64.71989,-3.3539,DR
MPEG26357,,MPEG,simonsi,F,Brazil,Amazonas,No information,Estação Ecológica Mamirauá [Reserva de Desenvolvimento Sustentável],-65.70879,-2.21689,DR
MPEG34016,,MPEG,goeldii,F,Brazil,Amazonas,Humaitá,"Escola Agrotécnica, Km 8, BR-319 [IFAM-Campus Humaitá]",-63.07166,-7.55169,SK
MPEG34407,,MPEG,goeldii,F,Brazil,Amazonas,Humaitá,"Escola Agrotécnica, Km 8, BR-319 [IFAM-Campus Humaitá]",-63.07166,-7.55169,SK
MPEG40369,EPM07,MPEG,goeldii,NA,Brazil,Pará,Melgaço,"Estação Científica Ferreira Penna, Floresta Nacional de Caxiuanã",-51.45549,-1.7374,FR
MPEG40371,EPM04,MPEG,guyannensis,NA,Brazil,Pará,Melgaço,"Estação Científica Ferreira Penna, Floresta Nacional de Caxiuanã",-51.45549,-1.7374,FR
MRT3925,,CIT,guyannensis,NA,Brazil,Tocantins,Paranã,No information,-47.87264,-12.61673,FR
MSA-MC123,,MZUSP,goeldii,NA,Brazil,Rondônia,Porto Velho,UHE Santo Antônio,-63.9505,-8.80237,DR
MSA-SA110,,MZUSP,longicaudatus,NA,Brazil,Rondônia,Porto Velho,UHE Santo Antônio,-63.9505,-8.80237,DR
MSB140110,,MSB,decumanus,M,Ecuador,El Oro,"Las Lajas, La Libertad",Rio Puyango,-80.11667,-3.88333,FR
MSB140111,,MSB,decumanus,M,Ecuador,Manabi,"Jipijapa, Puerto de Cayo",Salaite,-80.75,-1.38333,FR
MSB208394,,MSB,longicaudatus,F,Bolivia,El Beni,No information,"El Valle, Chaco Maiz",-65.51084,-14.01672,FR
MSB210840,,MSB,longicaudatus,F,Bolivia,Santa Cruz,No information,3.5 Km W of Estacion Pailon,-62.75,-17.65,FR
MSB211792,,MSB,longicaudatus,M,Bolivia,Pando,No information,Las Piedras,-66.13381,-11.03798,FR
MSB211815,,MSB,goeldii,M,Bolivia,Pando,No information,Agua Dulce,-66.21667,-11.01667,FR
MSB236570,,MSB,gardneri,M,Bolivia,Pando,No information,Santa Rosa,-68.91681,-11.3501,FR
MSB236594,,MSB,simonsi,M,Bolivia,Pando,No information,Santa Rosa,-68.91681,-11.3501,FR
MSB236689,,MSB,goeldii,M,Bolivia,Pando,No information,"Opposite Independencia, Right bank Rio Madre de Dios",-67.56023,-11.49004,FR
MSB236698,,MSB,goeldii,F,Bolivia,Pando,No information,La Cruz,-68.84981,-11.35059,FR
MSB236806,,MSB,longicaudatus,M,Bolivia,Beni,No information,Boca del Rio Biata,-66.77966,-11.74947,FR
MSB236807,,MSB,goeldii,F,Bolivia,Beni,No information,Boca del Rio Biata,-66.77966,-11.74947,FR
MSB238391,,MSB,longicaudatus,F,Bolivia,Cochabamba,No information,"El Palmar, Rio Cochi Mayu",-65.55,-17.1,FR
MSB239628,,MSB,longicaudatus,F,Bolivia,Santa Cruz,No information,Los Lomitas,-63.11667,-17.88333,FR
MSB263513,,MSB,Hoplomys gymnurus,M,Panama,Veraguas,No information,No information,-81.15074,8.53204,FR
MSB45836,,MSB,semispinosus,M,Honduras,Gracias a Dios,Brus Laguna,"Rio Mairin Tingni, 0.5 Km up from Rio Planalto",-84.7178,15.84003,FR
MSB70574,,MSB,longicaudatus,M,Bolivia,Cochabamba,No information,"El Palmar, Rio Cochi Mayu",-65.55,-17.1,FR
MSB70575,,MSB,longicaudatus,F,Bolivia,Cochabamba,No information,"12.5 Km SW Villa Tunari, Parque Natl. Carrasco",-65.46667,-17.05,FR
MSB99059,,MSB,longicaudatus,F,Bolivia,Beni,No information,"Puesto Militar Casarebe, 5.5 Km S of Casarebe by road",-64.49139,-14.89556,FR
MSB99060,,MSB,longicaudatus,F,Bolivia,Beni,No information,"Puesto Militar Casarebe, 5.5 Km S of Casarebe by road",-64.49139,-14.89556,FR
MUSM13338,RSV2120,AMNH-AMCC,longicaudatus,M,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Río Galvez",-73.16208,-5.2495,FR
MUSM13339,RSV2033,AMNH-AMCC,simonsi,M,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Río Galvez",-73.16208,-5.2495,FR
MUSM13342,RSV2076,AMNH-AMCC,simonsi,F,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Río Galvez",-73.16208,-5.2495,FR
MVZ136648,,MVZ,longicaudatus,M,Peru,Ucayali,No information,"Balta, Rio Curanja",-71.2166,-10.1333,SK
MVZ155121,,MVZ,longicaudatus,F,Peru,Amazonas,No information,"Vicinity of Huampami [Aguaruna Village], Rio Cenepa",-78.16833,-4.45667,FR
MVZ157855,JLP8271,MVZ,longicaudatus,M,Peru,Madre de Dios,No information,"Lago Sandoval, Rio Madre de Dios",-69.068,-12.63333,FR
MVZ157905,,MVZ,longicaudatus,M,Peru,Amazonas,No information,"La Poza, Rio Santiago",-77.751,-4.022,FR
MVZ157968,,MVZ,simonsi,M,Peru,Amazonas,No information,"La Poza, Rio Santiago",-77.751,-4.022,FR
MVZ160093,JLP9039,MVZ,longicaudatus,M,Venezuela,Bolivar,No information,"68 Km SE by road, Rio Cuyuni",-61.43333,6.15,FR
MVZ160094,JLP9044,MVZ,guyannensis,F,Venezuela,Bolivar,No information,"4 Km E (by road) El Pauji, 86.5 Km W Santa Elena",-61.66667,4.46667,SK
MVZ162309,,MVZ,Hoplomys gymnurus,M,Colombia,Valle del Cauca,No information,No information,-77.0185,3.93699,FR
MVZ166815,JLP11091,MVZ,simonsi,M,Peru,Madre de Dios,No information,"Aguas Calientes, Rio Alto Madre de Dios, 1 km below Shintuya",-71.26166,-12.68001,FR
MVZ168942,RMW675,MVZ,goeldii,M,Peru,Madre de Dios,No information,"Albergue Cusco Amazonica, Rio Madre de Dios, ca. 12 Km E Puero Maldonado",-69.07289,-12.6,FR
MVZ168945,I080,MVZ,trinitatis,M,Venezuela,Portuguesa,No information,"Santo Domingo, M. Nueva Florida",-69.01667,8.95,SK
MVZ168948,AN121,MVZ,canicollis,M,Venezuela,Zulia,No information,Rio Cachiri,-72.08333,10.98333,FR
MVZ168949,I230,MVZ,trinitatis,M,Trinidad and Tobago,Trinidad,No information,"Saint George Parish, Lesser Antilles, Chaguaramas",-61.63333,10.6833,SK
MVZ168953,EY624,MVZ,longicaudatus,M,Peru,Madre de Dios,No information,"Albergue Cusco Amazonica, Rio Madre de Dios, ca. 12 Km E Puero Maldonado",-69.07289,-12.6,FR
MVZ168955,EY631,MVZ,simonsi,M,Peru,Madre de Dios,No information,"Albergue Cusco Amazonica, Rio Madre de Dios, ca. 12 Km E Puero Maldonado",-69.07289,-12.6,FR
MVZ190699,JLP15922,MVZ,longicaudatus,F,Brazil,Amazonas,Itamarati,"Barro Vermelho, left bank Rio Juruá",-68.76672,-6.46666,FR
MVZ190951,,MVZ,goeldii,M,Brazil,Amazonas,No information,"Ilhazinha, left bank Rio Juruá on Igarapé Arabidi, affluent of Paraná Breu",-66.2333,-3.2833,FR
MVZ190954,,MVZ,goeldii,F,Brazil,Amazonas,No information,"Ilha Paxiuba, right bank Rio Juruá",-66,-3.31667,FR
MVZ194439,INPA3442,MVZ,longicaudatus,F,Brazil,Acre,Porto Walter,"Igarapé Porongaba, right bank Rio Juruá",-72.78304,-8.66663,FR
MVZ194463,MPEG28360; MNFS1606,MVZ,longicaudatus,NA,Brazil,Acre,Porto Walter,"Nova Vida, right bank Rio Juruá",-72.81667,-8.36666,FR
MVZ194474,MPEG28366; JUR236,MVZ,longicaudatus,F,Brazil,Acre,Porto Walter,"Nova Vida, right bank Rio Juruá",-72.81667,-8.36666,FR
MVZ194485,MPEG28371; MNFS1486,MVZ,longicaudatus,F,Brazil,Acre,Porto Walter,"Sobral, left bank Rio Juruá",-72.81662,-8.36666,FR
MVZ194491,MPEG28377; JLP15638,MVZ,longicaudatus,F,Brazil,Amazonas,Ipixuna,"Seringal Condor, left bank Rio Juruá",-70.85003,-6.75,FR
MVZ194492,MPEG28364; JUR187,MVZ,longicaudatus,F,Brazil,Amazonas,Itamarati,"Barro Vermelho, left bank Rio Juruá",-68.76672,-6.46666,FR
MVZ194493,MPEG28367; MNFS331,MVZ,longicaudatus,F,Brazil,Amazonas,No information,"Penedo, right bank Rio Juruá",-70.75008,-6.83344,FR
MVZ194511,MPEG25501; JUR297; MPEG28378,MVZ,echinothrix,M,Brazil,Amazonas,Juruá,"Lago Vai-quem-quer, right bank, Rio Juruá",-66.01666,-3.31666,FR
MVZ194545,MPEG25512; MNFS857; MPEG28381,MVZ,gardneri,F,Brazil,Amazonas,Itamarati,"Altamira, right bank Rio Juruá",-68.9002,-6.58334,FR
MVZ194567,MPEG25505; MNFS541; MPEG28385,MVZ,gardneri,M,Brazil,Amazonas,Ipixuna,"Seringal Condor, left bank Rio Juruá",-70.85003,-6.75,FR
MVZ194582,MPEG25509; MNFS1166; MPEG28392,MVZ,gardneri,M,Brazil,Acre,Porto Walter,"Igarapé Porongaba, right bank Rio Juruá",-72.78304,-8.66663,FR
MVZ194602,MPEG28409; JUR250,MVZ,simonsi,M,Brazil,Acre,Porto Walter,"Sobral, left bank Rio Juruá",-72.81662,-8.36666,FR
MVZ194635,MPEG28447; MNFS1316,MVZ,simonsi,F,Brazil,Acre,Porto Walter,"Igarapé Porongaba, right bank Rio Juruá",-72.78304,-8.66663,FR
MVZ194703,MPEG28398; JUR195,MVZ,simonsi,NA,Brazil,Amazonas,Itamarati,"Altamira, right bank Rio Juruá",-68.89219,-6.58282,FR
MVZ194711,MPEG28417; JUR302,MVZ,simonsi,F,Brazil,Amazonas,Juruá,"Lago Vai-quem-quer, right bank, Rio Juruá",-66.01666,-3.31666,FR
MVZ194775,MPEG28427; MNFS724,MVZ,simonsi,M,Brazil,Amazonas,Itamarati,"Barro Vermelho, left bank Rio Juruá",-68.76672,-6.46666,FR
MVZ194874,MPEG28572; MNFS1507,MVZ,goeldii,F,Brazil,Acre,Porto Walter,"Sobral, left bank Rio Juruá",-72.81662,-8.36666,FR
MVZ194879,MPEG28575; MNFS1548,MVZ,goeldii,F,Brazil,Acre,Porto Walter,"Nova Vida, right bank Rio Juruá",-72.81667,-8.36666,FR
MVZ194909,MPEG28486; JUR68,MVZ,goeldii,F,Brazil,Amazonas,Ipixuna,"Igarapé Nova Empresa, left bank, Rio Juruá",-70.73359,-6.80001,FR
MVZ194914,MPEG28491; JUR81,MVZ,goeldii,M,Brazil,Amazonas,Ipixuna,"Igarapé Nova Empresa, left bank, Rio Juruá",-70.73359,-6.80001,FR
MVZ194987,MPEG28540; MNFS497,MVZ,goeldii,F,Brazil,Amazonas,No information,"Penedo, right bank Rio Juruá",-70.75008,-6.83344,FR
MVZ194997,MPEG28543; MNFS599,MVZ,goeldii,F,Brazil,Acre,Porto Walter,"Sacado (Condor), right bank Rio Juruá",-70.85003,-6.75,FR
MVZ195034,MPEG28562; MNFS711,MVZ,goeldii,M,Brazil,Amazonas,Itamarati,"Jainu, right bank, Rio Juruá",-68.76667,-6.46669,FR
MVZ195036,MPEG28564; MNFS715,MVZ,goeldii,M,Brazil,Amazonas,Itamarati,"Jainu, right bank, Rio Juruá",-68.76667,-6.46669,FR
MVZ196095,,MVZ,trinitatis,M,Colombia,Santander,Finca San Miguel,"San Pedro de la Paz, Cimitarra",-73.9511,6.31417,SK
MVZ225064,,MVZ,semispinosus,F,Panama,Chiriqui,"Boquerón, Tijeras",San Miguel,-82.58217,8.46342,FR
MVZ225082,,MVZ,Hoplomys gymnurus,M,Panama,Panama,No information,No information,-79.92578,8.68753,FR
MZUSP30365,UUPI326; CIT1449,CIT,guyannensis,M,Brazil,Piauí,Bom Jesus,Estação Ecológica de Urucuí-Una,-45.20264,-8.86342,FR
MZUSP30370,UUPI412; CIT1465,CIT,guyannensis,M,Brazil,Piauí,Bom Jesus,Estação Ecológica de Urucuí-Una,-45.20264,-8.86342,FR
MZUSP31924,APC176; CIT648,CIT,goeldii,F,Brazil,Mato Grosso,Juruena,No information,-58.49231,-10.32276,FR
MZUSP31926,APC209; CIT680,CIT,longicaudatus,M,Brazil,Mato Grosso,Aripuanã,No information,-59.44718,-10.17484,FR
MZUSP31927,APC251; CIT703,CIT,longicaudatus,M,Brazil,Mato Grosso,Aripuanã,No information,-59.44718,-10.17484,FR
MZUSP31937,M000142; CIT622,CIT,longicaudatus,F,Brazil,Mato Grosso,Juruena,No information,-58.49231,-10.32276,FR
MZUSP31939,APC169; CIT642,CIT,longicaudatus,F,Brazil,Mato Grosso,Juruena,No information,-58.49231,-10.32276,FR
MZUSP31942,M97032; CIT483,CIT,guyannensis,NA,Brazil,Mato Grosso,Cláudia,No information,-54.87472,-11.50302,FR
MZUSP31944,M97180; CIT511,CIT,guyannensis,M,Brazil,Mato Grosso,Cláudia,No information,-54.87472,-11.50302,FR
MZUSP31945,M000090;  CIT589,CIT,guyannensis,M,Brazil,Mato Grosso,Gaúcha do Norte,No information,-53.25595,-13.18229,FR
MZUSP31946,M000097; CIT591,CIT,guyannensis,F,Brazil,Mato Grosso,Gaúcha do Norte,No information,-53.25595,-13.18229,FR
MZUSP31947,APC273; CIT714,CIT,guyannensis,M,Brazil,Mato Grosso,Vila Rica,No information,-51.11932,-10.01433,FR
MZUSP31948,APC274; CIT753,CIT,guyannensis,M,Brazil,Mato Grosso,Vila Rica,No information,-51.11932,-10.01433,FR
MZUSP31950,APC825,MZUSP,guyannensis,F,Brazil,Tocantins,Peixe,No information,-48.54,-12.02688,FR
MZUSP31951,APC847,MZUSP,guyannensis,F,Brazil,Tocantins,Peixe,No information,-48.54,-12.02688,FR
NUTRIA289,,CTA-UFES,Myocastor coypus,NA,No information,No information,No information,No information,NA,NA,FR
PLVP642,,LMUSP,echinothrix,NA,Brazil,Amazonas,Novo Airão,"Comunidade Tambor, Parque Nacional do Jaú",-62.48921,-2.30486,FR
PNPA321,,MZUSP,longicaudatus,M,Brazil,Mato Grosso do Sul,Corumbá,Fazenda Acurizal,-57.16668,-19.63333,FR
PNPA357,,MZUSP,longicaudatus,F,Brazil,Mato Grosso do Sul,Corumbá,Fazenda Acurizal,-57.16668,-19.63333,FR
RGM853,,MZUSP,goeldii,NA,Brazil,Mato Grosso,Pontes e Lacerda,UHE Guaporé,-58.97905,-15.13767,DR
RGM856,,MZUSP,goeldii,NA,Brazil,Mato Grosso,Pontes e Lacerda,UHE Guaporé,-58.97905,-15.13767,DR
ROM115116,,ROM,trinitatis,F,Guyana,Cuyuni-Mazaruni,No information,"Mount Roraima, Ridge Camp",-60.76667,5.33333,FR
ROM117526,,ROM,guyannensis,F,Suriname,Sipiliwini,No information,"Bakhuis, Transect 11",-56.88556,4.46694,FR
ROM119901,,ROM,longicaudatus,F,Guyana,Potaro-Siparuni,No information,"Iwokrama Forest, Canopy Walkway",-58.90933,4.24963,FR
TL17240,,MZUSP,goeldii,F,Brazil,Pará,No information,Terra Indígena Kayapó,-51.98652,-7.70104,DR
TL17273,,MZUSP,guyannensis,M,Brazil,Pará,No information,Terra Indígena Kayapó,-51.98652,-7.70104,DR
TTU100580,TK119156,TTU,semispinosus,F,Nicaragua,Atlantico Sur,Nueva Guinea,El Paraisito,-84.39952,11.67685,FR
TTU103310,TK134958,TTU,decumanus,M,Ecuador,Guayas,No information,"Bosque Protector Cerro Blanco, Centro de Visitantes",-80.02158,-2.42728,FR
TTU102638,TK135304,TTU,decumanus,M,Ecuador,El Oro,"Las Lajas, La Libertad","Puyango, Bosque Petrificado, Sector Quebrada de los Sabalos",-80.09286,-3.8795,FR
TTU102971,TK135716,TTU,semispinosus,F,Ecuador,Esmeraldas,No information,Comuna San Francisco de Bogota,-78.70597,1.09356,FR
TTU102977,TK135943,TTU,semispinosus,M,Ecuador,Esmeraldas,No information,Comuna San Francisco de Bogota,-78.70597,1.09356,FR
